time,seconds_elapsed,z,y,x
1774021055913457400,0.10545751953125,-8.470122579053044,-4.942359956315159,0.02196238709166646
1774021055923535400,0.115535400390625,-8.47011030409336,-4.942380999103189,0.02200679705555085
1774021055933613300,0.12561328125,-8.469985216408967,-4.942596687680482,0.02177503412629012
1774021055943691300,0.135691162109375,-8.4699606664896,-4.942633512559532,0.022736695932410657
1774021055953769500,0.14576953125,-8.469939623701572,-4.942655724391341,0.025617795193521305
1774021055963847400,0.155847412109375,-8.469867142987251,-4.942763860940933,0.028690535436058415
1774021055973925400,0.16592529296875,-8.469564945170283,-4.943265380722284,0.03127675482026534
1774021055984003300,0.17600341796875,-8.468884561690688,-4.944416304323077,0.033556150444736706
1774021055994081300,0.186081298828125,-8.468015962162614,-4.945887545919418,0.03591915324903093
1774021056004158200,0.196158203125,-8.467271281275153,-4.947146021547913,0.038101054732222105
1774021056014236200,0.206236083984375,-8.466891342046857,-4.9477831504076715,0.03966723546986468
1774021056024314000,0.216314208984375,-8.466821783941983,-4.947895963132381,0.04047957019947935
1774021056034392300,0.226392333984375,-8.46699772503078,-4.947594349837303,0.04048699088753201
1774021056044470300,0.23647021484375,-8.467242639702558,-4.947176416686177,0.04041850136173889
1774021056054548200,0.24654833984375,-8.467507428118585,-4.946721074134111,0.04062903883988037
1774021056064626200,0.256626220703125,-8.467668756160139,-4.946441672670841,0.041015353010036046
1774021056074704100,0.2667041015625,-8.467813717588783,-4.946191497302055,0.04124834434858057
1774021056084782300,0.2767822265625,-8.467880937606095,-4.9460792690992355,0.040890872680419126
1774021056094860300,0.2868603515625,-8.46776286418438,-4.946289696979522,0.03996874830024317
1774021056104938200,0.296938232421875,-8.467475279414653,-4.946789463195205,0.03897430760252755
1774021056115016200,0.30701611328125,-8.467078973573447,-4.947471015718579,0.03856758996516
1774021056125094100,0.31709423828125,-8.466738781833648,-4.948049692389369,0.03904604853133205
1774021056135172000,0.327172119140625,-8.466635321459174,-4.948220372781157,0.039812877318519166
1774021056145250300,0.337250244140625,-8.466793726891279,-4.947940386795997,0.040877620473201384
1774021056155328300,0.347328369140625,-8.466966745370627,-4.947632343760133,0.04240137314149178
1774021056165406200,0.35740625,-8.467080727139114,-4.947422500401735,0.043999136327486484
1774021056175484200,0.367484130859375,-8.46705383913219,-4.947455233627558,0.04548509143576957
1774021056185562000,0.37756201171875,-8.466799572110176,-4.94787901199758,0.04676493864585645
1774021056195640300,0.387640380859375,-8.466472239851951,-4.948429631617665,0.0477772209609393
1774021056205718300,0.39771826171875,-8.466247783446311,-4.948806063714623,0.0485020737699233
1774021056215796200,0.407796142578125,-8.466305651113391,-4.948706694993376,0.04844887771138456
1774021056225874200,0.417874267578125,-8.466656364247202,-4.948106391012669,0.04854783544067759
1774021056235952000,0.4279521484375,-8.467087156879902,-4.947364632734656,0.0489620970636839
1774021056246030300,0.4380302734375,-8.467359544080495,-4.94689058548212,0.04974715562730562
1774021056256108300,0.4481083984375,-8.467591599270701,-4.946482589203119,0.05084634904086124
1774021056266186200,0.458186279296875,-8.467737729743122,-4.946217800787091,0.05228865680366289
