time,seconds_elapsed,z,y,x
1774005582665491000,0.089490966796875,-8.170101521602273,-5.407897739180922,-0.41769411820564417
1774005582675570000,0.09956982421875,-8.119716903755068,-5.481864308145642,-0.435597256501764
1774005582685648000,0.10964794921875,-8.071596139186621,-5.549628515338897,-0.4704731203760951
1774005582695726800,0.119726806640625,-8.023876941156386,-5.61379908195436,-0.52253743493855
1774005582705805000,0.12980517578125,-7.971772075387835,-5.681633431774378,-0.5833361870333552
1774005582715884000,0.139884033203125,-7.909760732632875,-5.761527637222409,-0.6409916726663708
1774005582725962000,0.1499619140625,-7.834214785522222,-5.858751163133978,-0.685931322980672
1774005582736041000,0.160041015625,-7.7431766702473155,-5.975396597874164,-0.7129024781450629
1774005582746119000,0.170118896484375,-7.637282931146025,-6.109394149431586,-0.7194470044177025
1774005582756198000,0.180197998046875,-7.519561391606927,-6.2552545727401965,-0.7059624497488141
1774005582766275800,0.19027587890625,-7.395600665417313,-6.404759490031004,-0.674196388458088
1774005582776355000,0.20035498046875,-7.272686233410239,-6.5485471987187855,-0.6284479790441692
1774005582786433000,0.21043310546875,-7.157185877051949,-6.679523941150308,-0.5736185836825519
1774005582796512000,0.220511962890625,-7.0518836741030215,-6.795254014611244,-0.5155956529766321
1774005582806590000,0.23058984375,-6.956351754540204,-6.896864377304912,-0.4613178270831704
1774005582816669000,0.2406689453125,-6.869993321514129,-6.985888230147958,-0.41344497286118564
1774005582826747000,0.250746826171875,-6.78981445390582,-7.066202706834673,-0.37090821897014975
1774005582836825900,0.260825927734375,-6.7119882869035,-7.14217184779346,-0.330116518648155
1774005582846904000,0.270904052734375,-6.633122839981317,-7.217109307616949,-0.29223610266298056
1774005582856983000,0.280983154296875,-6.550332328569889,-7.293691027516126,-0.2561213263771497
1774005582867061800,0.291061767578125,-6.4634302901864045,-7.371952078804373,-0.22084227026309816
1774005582877140000,0.301139892578125,-6.375124814745783,-7.449333424648642,-0.18867995793009176
1774005582887219000,0.311218994140625,-6.288574074018001,-7.523211730808019,-0.1596790870363824
1774005582897297000,0.321296875,-6.207284030297398,-7.590913978680968,-0.1342873282842338
1774005582907376000,0.331376220703125,-6.132583886361122,-7.651723544430732,-0.11369838497024029
1774005582917454000,0.3414541015625,-6.062734105065465,-7.707474073225259,-0.09208207136988639
1774005582927532800,0.35153271484375,-5.9955164258390665,-7.760147094270587,-0.06539482488052453
1774005582937610800,0.36161083984375,-5.927470479094982,-7.812450697481632,-0.03298157456032932
1774005582947685600,0.371685546875,-5.8564329493194816,-7.865911069512367,0.0039689855439515665
1774005582957763800,0.381763916015625,-5.78217119680047,-7.92053113297224,0.0454034136348404
1774005582967842800,0.3918427734375,-5.706150617915392,-7.975103850159049,0.08911945870462805
1774005582977920800,0.401920654296875,-5.631243553230166,-8.027633663341403,0.12877262911652215
1774005582988000000,0.412,-5.558593912082911,-8.077534881585835,0.16080067494483663
1774005582998078000,0.422077880859375,-5.489022363206744,-8.124479003590345,0.1840464529105462
1774005583008156700,0.43215673828125,-5.423312750455737,-8.16811180908978,0.20005725638773292
1774005583018234600,0.442234619140625,-5.361771947821975,-8.20833860553801,0.2120761406845413
1774005583028313900,0.45231396484375,-5.303862779688835,-8.245625841403006,0.22155533216958864
1774005583038391800,0.462391845703125,-5.248422047495842,-8.28085263760686,0.22788475438682362
1774005583048470800,0.472470703125,-5.195279655373096,-8.31415927940309,0.23282748975232243
1774005583058549000,0.482549072265625,-5.146251712831854,-8.344433421635626,0.238558946076408
1774005583068627700,0.492627685546875,-5.103862185391783,-8.370265197506546,0.24419163646744563
1774005583078705700,0.50270556640625,-5.070227626815438,-8.390574995085597,0.2478186678581871
1774005583088785000,0.512784912109375,-5.044571792033315,-8.405998189666867,0.24873817558959124
1774005583098862800,0.52286279296875,-5.025158651033044,-8.417653556147217,0.2475349007470533
1774005583108941800,0.53294189453125,-5.0110149748682975,-8.426166532948614,0.2446120538366027
1774005583119019800,0.543019775390625,-4.999980370634794,-8.432834758666157,0.24058754756087436
1774005583129099000,0.55309912109375,-4.988768656268715,-8.439615212586522,0.2355179526790045
1774005583139177000,0.563177001953125,-4.974430918836593,-8.44825327707231,0.22897992921238763
1774005583149255700,0.573255615234375,-4.955615743729472,-8.459531042411923,0.22043774458281695
1774005583159334000,0.583333984375,-4.933683897906541,-8.472596860212088,0.21034528003763406
1774005583169412900,0.593412841796875,-4.911151163581013,-8.48596429130733,0.19846282680314034
1774005583179490800,0.60349072265625,-4.890181440788507,-8.49838479694128,0.18432746180901302
1774005583189569800,0.61356982421875,-4.871663787323236,-8.509358610898255,0.16765349998166784
1774005583199648000,0.62364794921875,-4.855220309783518,-8.519112527671457,0.1481176093845628
1774005583209726700,0.633726806640625,-4.84063239698261,-8.527762282595038,0.12621193004935047
1774005583219805700,0.6438056640625,-4.826554479530453,-8.536036189943552,0.10415951745351776
1774005583229884000,0.6538837890625,-4.811856676614284,-8.544556765529514,0.08350920847426169
1774005583239963000,0.663962890625,-4.795152794572711,-8.554106099641322,0.06463066754103639
1774005583250040800,0.674040771484375,-4.774316635031997,-8.565868433627486,0.04668737989761866
1774005583260119800,0.684119873046875,-4.748474922288954,-8.580299694561958,0.02873295208896743
1774005583270197800,0.69419775390625,-4.718156064131856,-8.597051507398486,0.009519903662992874
1774005583280276700,0.70427685546875,-4.686486960409582,-8.614353355333208,-0.012224783274094807
1774005583290354700,0.714354736328125,-4.6581285886704915,-8.629651462230086,-0.03670756824694108
1774005583300434000,0.724433837890625,-4.6364390271708364,-8.641160113716126,-0.06468370833594818
1774005583310511900,0.734511962890625,-4.6241465318307275,-8.647440801420807,-0.09699616516279055
1774005583320590800,0.7445908203125,-4.6228661366313695,-8.64762317225039,-0.1346022851180751
1774005583330668800,0.754668701171875,-4.632888348951935,-8.641474586492777,-0.17791500095082446
1774005583340747800,0.764747802734375,-4.65061631334424,-8.630832196447253,-0.22560362117970362
1774005583350825700,0.77482568359375,-4.669197679695487,-8.619350432968139,-0.27525988821974023
1774005583360905000,0.784905029296875,-4.681004437345266,-8.611206874001025,-0.325109248412773
1774005583370983000,0.79498291015625,-4.680051082143187,-8.60979934529066,-0.37264801184218377
1774005583381062000,0.805061767578125,-4.6636055587768555,-8.616782043784855,-0.4150172636792063
1774005583391139800,0.815139892578125,-4.633256890003383,-8.631365280410646,-0.45039574331343174
1774005583401218800,0.82521875,-4.5941395161017775,-8.650771407148241,-0.4779365150593221
1774005583411296800,0.835296875,-4.55198555098325,-8.67186738666892,-0.4985279791239649
1774005583421375700,0.845375732421875,-4.513366774253547,-8.69107769857347,-0.5148634297119453
1774005583431455000,0.855455078125,-4.484676394081116,-8.704986981460452,-0.5303478894937783
1774005583441533000,0.865532958984375,-4.471005303864181,-8.71099586648643,-0.5468593542357907
1774005583451611600,0.875611572265625,-4.474843566852808,-8.707820743581651,-0.5657026959914714
1774005583461689600,0.885689697265625,-4.495188435745239,-8.695971315833926,-0.5863168102793395
1774005583471768800,0.895768798828125,-4.528469358578324,-8.677282397454977,-0.6067229443723335
1774005583481846800,0.9058466796875,-4.5692409294277425,-8.654712253728508,-0.6232127087391912
1774005583491925800,0.91592578125,-4.610017468713224,-8.632375334236025,-0.6326348362747579
1774005583502004000,0.92600390625,-4.64369791225791,-8.614282043662667,-0.6329466056376696
1774005583512082700,0.936082763671875,-4.666261918504536,-8.602683960327505,-0.6246659032221883
1774005583522161000,0.946160888671875,-4.6773546826660635,-8.597694481477141,-0.6102348614834249
1774005583532240000,0.956239990234375,-4.6802395904526115,-8.59732155651152,-0.5931242618044837
1774005583542317800,0.96631787109375,-4.679779863986373,-8.598685830602049,-0.5767557126644999
1774005583552396800,0.976396728515625,-4.68016710973829,-8.599251647791267,-0.5650550822703168
1774005583562474800,0.986474853515625,-4.684482927110791,-8.597173087951541,-0.5609208685424178
1774005583572554000,0.996553955078125,-4.694355209566653,-8.591455879348516,-0.5659575840679928
1774005583582632000,1.0066318359375,-4.710266479925811,-8.581829388347268,-0.5796310854377225
1774005583592710700,1.016710693359375,-4.73068909022957,-8.569209560748934,-0.5996794556016102
1774005583602790000,1.026789794921875,-4.752730241645872,-8.555355807441472,-0.6227485983587802
1774005583612867800,1.036867919921875,-4.772596094849705,-8.542570560148357,-0.6459076478891074
1774005583622946800,1.04694677734375,-4.787813245464861,-8.53245774693489,-0.6666225191377103
1774005583633025000,1.05702490234375,-4.798282324770093,-8.52533534770906,-0.682287121259421
1774005583643103700,1.067103759765625,-4.805017185983061,-8.520794197148085,-0.6915588074736296
1774005583653181700,1.077181640625,-4.808099369907379,-8.51891905092597,-0.69323908871077
1774005583663261000,1.087260986328125,-4.806696809633076,-8.520148300459981,-0.6878329918835312
1774005583673339000,1.0973388671875,-4.80004962670356,-8.524743811556696,-0.6772317375659942
